old_name,input_directory,new_name_1_component,new_name_2_components,new_name_3_components
wf_claude_claude-3-5-haiku-20241022_narrative_20251010_211438,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_claude_claude-3-5-haiku-20241022_narrative_20251010_211438,wf_idtexternal_testimages_claude_claude-3-5-haiku-20241022_narrative_20251010_211438,wf_idt_idtexternal_testimages_claude_claude-3-5-haiku-20241022_narrative_20251010_211438
wf_claude_claude-3-5-haiku-20241022_narrative_20251011_004240,C:\Users\kelly\GitHub\idt\idtexternal\idt\bat\testimages,wf_testimages_claude_claude-3-5-haiku-20241022_narrative_20251011_004240,wf_bat_testimages_claude_claude-3-5-haiku-20241022_narrative_20251011_004240,wf_idt_bat_testimages_claude_claude-3-5-haiku-20241022_narrative_20251011_004240
wf_claude_claude-3-7-sonnet-20250219_detailed_20251009_163048,c:\idt\testimages,wf_testimages_claude_claude-3-7-sonnet-20250219_detailed_20251009_163048,wf_idt_testimages_claude_claude-3-7-sonnet-20250219_detailed_20251009_163048,wf_c_idt_testimages_claude_claude-3-7-sonnet-20250219_detailed_20251009_163048
wf_claude_claude-3-7-sonnet-20250219_detailed_20251009_163658,C:\idt\testimages,wf_testimages_claude_claude-3-7-sonnet-20250219_detailed_20251009_163658,wf_idt_testimages_claude_claude-3-7-sonnet-20250219_detailed_20251009_163658,wf_c_idt_testimages_claude_claude-3-7-sonnet-20250219_detailed_20251009_163658
wf_claude_claude-3-7-sonnet-20250219_narrative_20251010_211254,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_claude_claude-3-7-sonnet-20250219_narrative_20251010_211254,wf_idtexternal_testimages_claude_claude-3-7-sonnet-20250219_narrative_20251010_211254,wf_idt_idtexternal_testimages_claude_claude-3-7-sonnet-20250219_narrative_20251010_211254
wf_claude_claude-3-7-sonnet-20250219_narrative_20251011_004145,C:\Users\kelly\GitHub\idt\idtexternal\idt\bat\testimages,wf_testimages_claude_claude-3-7-sonnet-20250219_narrative_20251011_004145,wf_bat_testimages_claude_claude-3-7-sonnet-20250219_narrative_20251011_004145,wf_idt_bat_testimages_claude_claude-3-7-sonnet-20250219_narrative_20251011_004145
wf_claude_claude-3-haiku-20240307_colorful_20251009_201523,\\ford\home\Photos\MobileBackup\iPhone\2025\09,wf_09_claude_claude-3-haiku-20240307_colorful_20251009_201523,wf_2025_09_claude_claude-3-haiku-20240307_colorful_20251009_201523,wf_iphone_2025_09_claude_claude-3-haiku-20240307_colorful_20251009_201523
wf_claude_claude-3-haiku-20240307_colorful_20251009_202500,C:\Users\kelly\GitHub\idt\test_output,wf_test_output_claude_claude-3-haiku-20240307_colorful_20251009_202500,wf_idt_test_output_claude_claude-3-haiku-20240307_colorful_20251009_202500,wf_github_idt_test_output_claude_claude-3-haiku-20240307_colorful_20251009_202500
wf_claude_claude-3-haiku-20240307_detailed_20251009_190028,C:\Users\kelly\GitHub\idt\test_images,wf_test_images_claude_claude-3-haiku-20240307_detailed_20251009_190028,wf_idt_test_images_claude_claude-3-haiku-20240307_detailed_20251009_190028,wf_github_idt_test_images_claude_claude-3-haiku-20240307_detailed_20251009_190028
wf_claude_claude-3-haiku-20240307_detailed_20251009_193508,C:\idt\testimages,wf_testimages_claude_claude-3-haiku-20240307_detailed_20251009_193508,wf_idt_testimages_claude_claude-3-haiku-20240307_detailed_20251009_193508,wf_c_idt_testimages_claude_claude-3-haiku-20240307_detailed_20251009_193508
